formula,g,i,intensity,name,q
C479H758N130O148S3,1,3,15515,c97,10
C479H758N130O148S3,2,3,120905,c97,10
C484H765N131O151S3,1,3,46947,c98,9
C484H765N131O151S3,2,3,57293,c98,9
C484H765N131O151S3,3,3,47304,c98,9
C484H765N131O151S3,-1,3,82955,c98,10
C484H765N131O151S3,1,3,32797,c98,10
C484H765N131O151S3,4,3,137781,c98,10
C484H765N131O151S3,0,3,114809,c98,11
C484H765N131O151S3,3,3,32851,c98,11
C488H770N132O154S3,0,3,45657,c99,9
C488H770N132O154S3,1,3,123141,c99,10
C488H770N132O154S3,1,3,49994,c99,11
C494H782N134O155S3,1,3,141570,c100,9
C494H782N134O155S3,3,3,25010,c100,10
C494H782N134O155S3,1,3,50137,c100,11
C500H794N138O156S3,-1,3,18070,c101,10
C500H794N138O156S3,2,3,49368,c101,10
C500H794N138O156S3,0,3,167118,c101,11
C500H794N138O156S3,-1,3,80033,c101,12
C500H794N138O156S3,1,3,6706,c101,12
C505H802N140O158S3,-1,3,11701,c102,11
C505H802N140O158S3,0,3,67987,c102,11
C505H802N140O158S3,0,3,66229,c102,12
C511H814N142O159S3,0,3,59770,c103,12
C520H830N144O161S3,2,3,32980,c105,11
C520H830N144O161S3,3,3,31857,c105,11
C520H830N144O161S3,5,3,55729,c105,11
C520H830N144O161S3,6,3,51499,c105,11
C520H830N144O161S3,7,3,106868,c105,11
C525H837N145O164S3,1,3,11831,c106,13
C525H837N145O164S3,2,3,23275,c106,13
C530H844N146O167S3,-1,3,94056,c107,10
C530H844N146O167S3,2,3,13105,c107,10
C530H844N146O167S3,3,3,10370,c107,10
C530H844N146O167S3,1,3,161920,c107,11
C530H844N146O167S3,0,3,17472,c107,12
C530H844N146O167S3,1,3,151494,c107,12
C539H853N147O168S3,2,3,182075,c108,10
C539H853N147O168S3,3,3,26552,c108,10
C539H853N147O168S3,5,3,8771,c108,10
C539H853N147O168S3,6,3,7402,c108,10
C539H853N147O168S3,0,3,191533,c108,11
C539H853N147O168S3,1,3,61178,c108,11
C539H853N147O168S3,0,3,161167,c108,12
C548H862N148O169S3,0,3,93903,c109,10
C548H862N148O169S3,2,3,22063,c109,10
C548H862N148O169S3,3,3,14424,c109,10
C548H862N148O169S3,-1,3,9538,c109,11
C548H862N148O169S3,1,3,67132,c109,11
C552H869N149O171S3,0,3,77069,c110,11
C552H869N149O171S3,3,3,27227,c110,11
C552H869N149O171S3,0,3,30167,c110,12
C552H869N149O171S3,3,3,53246,c110,12
C552H869N149O171S3,-1,3,58506,c110,13
C558H881N151O172S3,-1,3,100258,c111,11
C558H881N151O172S3,3,3,3434,c111,11
C558H881N151O172S3,4,3,14015,c111,11
C558H881N151O172S3,5,3,44874,c111,11
C558H881N151O172S3,-1,3,111012,c111,12
C558H881N151O172S3,6,3,36305,c111,12
C558H881N151O172S3,-1,3,3076,c111,13
C558H881N151O172S3,1,3,50437,c111,13
C583H922N156O179S3,1,3,58275,c116,11
C583H922N156O179S3,7,3,55591,c116,11
C583H922N156O179S3,0,3,182179,c116,13
C591H934N158O182S3,-1,3,36240,c118,12
C591H934N158O182S3,6,3,48302,c118,12
C591H934N158O182S3,-1,3,36672,c118,13
C591H934N158O182S3,1,3,23519,c118,13
C602H944N160O183S3,2,3,31374,c119,12
C606H951N161O185S3,-1,3,22916,c120,13
C606H951N161O185S3,1,3,43664,c120,13
C610H956N162O188S3,0,3,55619,c121,12
C610H956N162O188S3,1,3,43529,c121,12
C610H956N162O188S3,0,3,85699,c121,13
C616H963N165O189S3,-1,3,52105,c122,12
C616H963N165O189S3,2,3,146641,c122,12
C616H963N165O189S3,-1,3,19052,c122,13
C616H963N165O189S3,1,3,182851,c122,13
C616H963N165O189S3,-1,3,112615,c122,14
C616H963N165O189S3,4,3,5947,c122,14
C629H985N169O194S3,-1,3,48579,c125,13
C640H1004N172O197S3,5,3,160184,c127,13
C690H1086N190O216S5,0,3,97937,c139,14
C690H1086N190O216S5,-1,3,92420,c139,15
C693H1091N191O218S5,-1,3,105289,c140,14
C697H1096N192O221S5,-1,3,92094,c141,14
C697H1096N192O221S5,4,3,64475,c141,14
C697H1096N192O221S5,1,3,16831,c141,15
C697H1096N192O221S5,2,3,158680,c141,15
C710H1117N195O225S5,-1,3,33101,c144,16
C718H1132N198O227S5,0,3,98893,c146,16
C724H1144N200O228S5,2,3,93320,c147,15
C724H1144N200O228S5,-1,3,113419,c147,16
C734H1162N202O231S5,1,3,48830,c149,16
C734H1162N202O231S5,2,3,3957,c149,16
C740H1173N203O232S5,0,3,95347,c150,15
C740H1173N203O232S5,-1,3,2922,c150,16
C740H1173N203O232S5,2,3,126160,c150,16
C754H1192N208O238S5,-1,3,92799,c153,15
C754H1192N208O238S5,0,3,3901,c153,15
C754H1192N208O238S5,-1,3,62570,c153,16
C754H1192N208O238S5,0,3,86146,c153,16
C763H1209N211O241S5,1,3,78159,c155,17
C763H1209N211O241S5,0,3,70003,c155,18
C13H22N3O7,0,3,70130,z3,1
C13H22N3O7,1,3,6511,z3,1
C18H29N4O10,0,3,44306,z4,1
C21H34N5O12,0,3,48134,z5,1
C21H34N5O12,1,3,8819,z5,1
C27H41N8O13,0,3,90010,z6,1
C27H41N8O13,1,3,239,z6,1
C33H52N9O14,0,3,30201,z7,1
C37H59N10O16,0,3,41341,z8,1
C37H59N10O16,1,3,4489,z8,1
C37H59N10O16,5,3,4006,z8,1
C43H70N11O17,0,3,69538,z9,1
C43H70N11O17,1,3,11558,z9,1
C43H70N11O17,2,3,5457,z9,1
C43H70N11O17,3,3,7422,z9,1
C43H70N11O17,10,3,15320,z9,1
C43H70N11O17,18,3,4005,z9,1
C49H82N13O18,0,3,40367,z10,1
C49H82N13O18,15,3,505044,z10,1
C49H82N13O18,0,3,51427,z10,2
C55H94N15O19,0,3,100406,z11,2
C55H94N15O19,1,3,4455,z11,2
C57H97N16O20,14,3,16522,z12,1
C57H97N16O20,15,3,4868,z12,1
C57H97N16O20,16,3,6711,z12,1
C57H97N16O20,0,3,59532,z12,2
C57H97N16O20,1,3,13014,z12,2
C62H106N17O21,0,3,46895,z13,2
C62H106N17O21,1,3,6104,z13,2
C70H118N19O24,0,3,296217,z15,2
C70H118N19O24,1,3,4058,z15,2
C74H123N20O27,0,3,170595,z16,2
C74H123N20O27,1,3,2716,z16,2
C74H123N20O27,0,3,10013,z16,3
C77H128N21O29,0,3,185439,z17,2
C77H128N21O29,1,3,17552,z17,2
C77H128N21O29,0,3,9218,z17,3
C81H134N23O31,1,3,58324,z18,2
C81H134N23O31,2,3,32401,z18,2
C81H134N23O31,4,3,8642,z18,2
C81H134N23O31,13,3,19928,z18,2
C81H134N23O31,15,3,53325,z18,2
C81H134N23O31,16,3,70842,z18,2
C81H134N23O31,0,3,43055,z18,3
C87H145N24O32,0,3,60249,z19,2
C87H145N24O32,15,3,94307,z19,2
C87H145N24O32,0,3,12529,z19,3
C91H151N26O34,0,3,146490,z20,2
C91H151N26O34,3,3,11015,z20,2
C91H151N26O34,17,3,56407,z20,2
C91H151N26O34,0,3,63940,z20,3
C95H158N27O36,0,3,61844,z21,2
C95H158N27O36,0,3,12632,z21,3
C104H175N30O38S1,0,3,45086,z23,2
C104H175N30O38S1,1,3,4375,z23,2
C104H175N30O38S1,2,3,11921,z23,2
C104H175N30O38S1,3,3,46208,z23,2
C104H175N30O38S1,1,3,20214,z23,3
C107H180N31O40S1,0,3,23515,z24,2
C107H180N31O40S1,0,3,18636,z24,3
C110H185N32O42S1,0,3,90462,z25,3
